,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
10,2304971,16,,left,saccade,1.0,,,,493.13699999999994,169.674,557.111,169.674,,,
11,2304975,16,,right,saccade,1.0,3.0,,,493.088,218.208,551.148,218.208,,,
12,2304991,136,3.1893970588235296,left,fixation,1.0,,582.753057142857,167.274371428571,,,,,1.0,3.2346000139120585,11.500557377796971
13,2304995,132,3.1892424242424244,right,fixation,1.0,4.0,567.033323529412,221.144176470588,,,,,0.0,,
14,2305131,24,,left,saccade,2.0,,,,590.401,180.209,714.074,182.372,,,
15,2305131,24,,right,saccade,2.0,4.0,,,569.683,208.674,696.802,204.908,,,
16,2305159,1128,3.289989361702128,right,fixation,2.0,5.0,758.9790388692578,196.517469964664,,,,,3.0,8.968688226257727,51.47029457450832
17,2305159,1236,3.2957249190938507,left,fixation,2.0,,797.218129032258,165.43135483871,,,,,4.0,8.557561071616147,46.47903735508571
18,2306291,16,,right,saccade,3.0,5.0,,,774.36,198.22,833.2239999999997,206.575,,,
19,2306311,88,3.3571136363636365,right,fixation,3.0,6.0,836.9171304347833,213.309739130435,,,,,0.0,,
20,2306399,28,,left,saccade,3.0,,,,864.903,149.371,654.927,172.396,,,
21,2306403,24,,right,saccade,4.0,6.0,,,835.9119999999997,221.209,637.258,219.36599999999999,,,
22,2306431,280,3.357485714285714,right,fixation,4.0,7.0,629.804422535212,207.208267605634,,,,,1.0,4.284614143783683,5.048850166126831
23,2306431,284,3.357640845070424,left,fixation,3.0,,649.797,168.724388888889,,,,,1.0,2.536833880822479,4.8384341475316175
24,2306715,20,,right,saccade,5.0,7.0,,,638.226,207.042,717.477,200.079,,,
25,2306719,16,,left,saccade,4.0,,,,647.509,161.066,721.529,157.154,,,
26,2306739,324,3.388191358024691,right,fixation,5.0,8.0,728.012,182.551085365854,,,,,2.0,3.949909557229656,8.484144184281416
27,2306739,340,3.388058823529412,left,fixation,4.0,,747.2381627906972,149.567186046512,,,,,1.0,11.133671224912481,17.520136101069568
28,2307067,20,,right,saccade,6.0,8.0,,,722.745,169.40599999999995,795.9739999999997,162.536,,,
29,2307083,0,,left,saccade,5.0,,,,807.184,133.257,807.184,133.257,,,
30,2307087,96,3.376604166666666,left,fixation,5.0,,832.65388,147.9888,,,,,1.0,4.7858666723547225,18.08270693231512
31,2307091,92,3.375978260869565,right,fixation,6.0,9.0,815.675833333333,182.01575,,,,,2.0,3.4891272103013424,9.391669907398917
32,2307187,48,,left,saccade,6.0,,,,839.852,150.44799999999995,1391.2279999999994,172.06,,,
33,2307187,48,,right,saccade,7.0,9.0,,,810.64,191.12599999999998,1376.8210000000001,204.235,,,
34,2307239,1632,3.364121026894865,left,fixation,6.0,,1464.02709290954,134.140161369193,,,,,8.0,5.494682221588691,21.140943129469743
35,2307239,1636,3.3641231707317067,right,fixation,7.0,10.0,1450.16068292683,140.376975609756,,,,,6.0,4.663850780594991,15.6630510718685
